iter	Passed	Remaining
239	3299	10447
240	3311	10428
241	3324	10411
242	3333	10385
243	3346	10369
244	3359	10353
245	3372	10337
246	3385	10321
247	3395	10296
248	3407	10278
249	3421	10264
250	3431	10241
251	3444	10222
252	3456	10206
253	3471	10194
254	3484	10179
255	3495	10158
256	3508	10144
257	3521	10126
258	3533	10108
259	3542	10083
260	3557	10071
261	3570	10056
262	3580	10032
263	3590	10008
264	3602	9991
265	3614	9974
266	3624	9949
267	3636	9933
268	3649	9916
269	3659	9893
270	3670	9875
271	3684	9860
272	3695	9842
273	3705	9818
274	3718	9802
275	3729	9784
276	3739	9760
277	3752	9746
278	3765	9731
279	3777	9713
280	3787	9691
281	3800	9675
282	3812	9659
283	3822	9637
284	3852	9665
285	3865	9650
286	3878	9636
287	3888	9612
288	3899	9594
289	3912	9578
290	3921	9554
291	3938	9548
292	3950	9533
293	3964	9519
294	3977	9504
295	3986	9481
296	3998	9464
297	4011	9450
298	4022	9430
299	4032	9410
300	4045	9393
301	4057	9378
302	4067	9357
303	4080	9342
304	4096	9334
305	4109	9320
306	4123	9308
307	4135	9290
308	4148	9277
309	4165	9271
310	4179	9259
311	4193	9248
312	4210	9240
313	4228	9238
314	4245	9232
315	4259	9220
316	4278	9219
317	4298	9218
318	4312	9206
319	4328	9198
320	4345	9190
321	4365	9190
322	4383	9187
323	4396	9173
324	4412	9165
325	4430	9160
326	4445	9148
327	4460	9138
328	4477	9131
329	4506	9149
330	4524	9144
331	4539	9132
332	4556	9126
333	4575	9124
334	4591	9113
335	4609	9108
336	4632	9113
337	4651	9111
338	4667	9101
339	4686	9097
340	4707	9096
341	4721	9084
342	4737	9073
343	4755	9069
344	4768	9053
345	4780	9035
346	4792	9017
347	4805	9003
348	4819	8989
349	4831	8973
350	4841	8951
351	4853	8934
352	4866	8919
353	4877	8900
354	4888	8881
355	4900	8864
356	4912	8848
357	4922	8827
358	4934	8810
359	4947	8795
360	4956	8773
361	4967	8755
362	4980	8739
363	4989	8717
364	5002	8702
365	5015	8687
366	5029	8674
367	5038	8652
368	5050	8635
369	5063	8620
370	5072	8600
371	5084	8584
372	5097	8569
373	5110	8554
374	5121	8535
375	5132	8518
376	5145	8503
377	5159	8490
378	5168	8469
379	5181	8453
380	5194	8438
381	5205	8422
382	5215	8402
383	5228	8386
384	5240	8370
385	5249	8350
386	5261	8334
387	5273	8318
388	5282	8297
389	5297	8285
390	5313	8276
391	5327	8263
392	5343	8253
393	5359	8243
394	5372	8229
395	5382	8208
396	5394	8193
397	5407	8178
398	5420	8165
399	5430	8146
400	5444	8132
401	5456	8117
402	5468	8101
403	5478	8082
404	5490	8066
405	5503	8051
406	5513	8032
407	5525	8016
408	5538	8003
409	5551	7989
410	5561	7969
411	5573	7954
412	5585	7939
413	5595	7919
414	5607	7903
415	5619	7889
416	5631	7872
417	5641	7855
418	5654	7841
419	5667	7826
420	5676	7807
421	5688	7791
422	5701	7777
423	5710	7757
424	5722	7742
425	5734	7727
426	5745	7709
427	5755	7691
428	5767	7676
429	5779	7660
430	5788	7641
431	5801	7627
432	5814	7613
433	5823	7595
434	5836	7580
435	5849	7567
436	5861	7551
437	5871	7533
438	5883	7518
439	5896	7504
440	5907	7488
441	5918	7471
442	5931	7457
443	5944	7444
444	5954	7426
445	5966	7411
446	5979	7396
447	5989	7379
448	5999	7362
449	6011	7347
450	6021	7330
451	6033	7314
452	6046	7300
453	6061	7289
454	6074	7276
455	6083	7257
456	6111	7261
457	6122	7245
458	6132	7228
459	6145	7214
460	6159	7201
461	6171	7186
462	6180	7168
463	6193	7154
464	6206	7140
465	6215	7122
466	6227	7107
467	6240	7094
468	6251	7078
469	6262	7061
470	6275	7047
471	6287	7033
472	6298	7017
473	6309	7002
474	6323	6988
475	6336	6974
476	6347	6959
477	6359	6944
478	6373	6932
479	6386	6918
480	6395	6900
481	6407	6886
482	6420	6872
483	6430	6855
484	6442	6841
485	6456	6828
486	6470	6816
487	6482	6801
488	6492	6784
489	6504	6769
490	6516	6755
491	6526	6738
492	6538	6724
493	6552	6711
494	6564	6697
495	6574	6680
496	6586	6666
497	6600	6653
498	6611	6638
499	6621	6621
500	6634	6607
501	6645	6592
502	6655	6576
503	6668	6562
504	6682	6549
505	6692	6533
506	6703	6518
507	6716	6504
508	6727	6490
509	6737	6473
510	6751	6460
511	6764	6447
512	6777	6433
513	6787	6417
514	6800	6403
515	6812	6390
516	6821	6373
517	6834	6359
518	6847	6346
519	6861	6333
520	6870	6316
521	6883	6302
522	6895	6289
523	6907	6275
524	6918	6259
525	6931	6246
526	6944	6233
527	6957	6220
528	6968	6204
529	6983	6192
530	6999	6182
531	7014	6170
532	7030	6159
533	7047	6150
534	7062	6138
535	7077	6126
536	7091	6114
537	7107	6103
538	7117	6087
539	7133	6076
540	7147	6064
541	7162	6052
542	7177	6040
543	7192	6028
544	7206	6016
545	7217	6001
546	7227	5985
547	7240	5972
548	7253	5958
549	7262	5941
550	7276	5929
551	7288	5915
552	7301	5901
553	7310	5885
554	7323	5871
555	7337	5859
556	7350	5845
557	7360	5830
558	7374	5817
559	7389	5805
560	7404	5794
561	7417	5781
562	7431	5768
563	7442	5753
564	7458	5742
565	7474	5731
566	7500	5727
567	7516	5717
568	7539	5710
569	7557	5701
570	7573	5690
571	7589	5678
572	7602	5665
573	7617	5653
574	7629	5639
575	7640	5624
576	7652	5610
577	7668	5598
578	7685	5587
579	7700	5576
580	7715	5564
581	7730	5552
582	7746	5540
583	7760	5527
584	7772	5513
585	7788	5502
586	7803	5490
587	7818	5478
588	7831	5465
589	7845	5451
590	7861	5440
591	7876	5428
592	7887	5413
593	7901	5400
594	7915	5387
595	7930	5375
596	7944	5363
597	7957	5349
598	7967	5334
599	7981	5320
600	7996	5308
601	8011	5296
602	8027	5284
603	8040	5271
604	8049	5255
605	8064	5243
606	8077	5229
607	8092	5217
608	8108	5206
609	8125	5195
610	8141	5183
611	8155	5170
612	8168	5157
613	8184	5145
614	8198	5132
615	8214	5120
616	8230	5108
617	8250	5099
618	8267	5088
619	8284	5077
620	8296	5063
621	8317	5054
622	8330	5041
623	8345	5028
624	8359	5015
625	8373	5002
626	8387	4989
627	8402	4977
628	8416	4964
629	8427	4949
630	8441	4936
631	8455	4923
632	8469	4910
633	8483	4897
634	8494	4882
635	8505	4868
636	8519	4855
637	8532	4841
638	8547	4828
639	8559	4814
640	8574	4801
641	8589	4789
642	8603	4776
643	8616	4763
644	8628	4749
645	8638	4733
646	8650	4719
647	8662	4705
648	8671	4690
649	8684	4676
650	8696	4662
651	8709	4648
652	8719	4633
653	8731	4619
654	8745	4606
655	8754	4591
656	8766	4576
657	8778	4562
658	8791	4549
659	8802	4534
660	8815	4520
661	8828	4507
662	8841	4493
663	8852	4479
664	8864	4465
665	8876	4451
666	8890	4438
667	8903	4424
668	8915	4411
669	8930	4398
670	8944	4385
671	8958	4372
672	8971	4359
673	8981	4344
674	8993	4330
675	9005	4316
676	9015	4301
677	9027	4287
678	9040	4273
679	9052	4260
680	9062	4245
681	9075	4231
682	9088	4218
683	9102	4205
684	9112	4190
685	9125	4176
686	9139	4164
687	9152	4150
688	9162	4135
689	9175	4122
690	9188	4108
691	9200	4095
692	9211	4080
693	9223	4067
694	9236	4053
695	9249	4040
696	9259	4025
697	9274	4012
698	9287	3999
699	9301	3986
700	9311	3971
701	9322	3957
702	9334	3943
703	9346	3929
704	9357	3915
705	9370	3902
706	9384	3889
707	9398	3876
708	9408	3861
709	9420	3847
710	9433	3834
711	9444	3820
712	9454	3805
713	9467	3792
714	9481	3779
715	9490	3764
716	9502	3750
717	9515	3737
718	9527	3723
719	9537	3708
720	9549	3695
721	9561	3681
722	9571	3667
723	9583	3653
724	9598	3640
725	9611	3627
726	9620	3612
727	9632	3599
728	9645	3585
729	9654	3570
730	9667	3557
731	9679	3544
732	9692	3530
733	9702	3516
734	9715	3502
735	9728	3489
736	9740	3475
737	9751	3461
738	9763	3448
739	9776	3435
740	9787	3421
741	9798	3406
742	9811	3393
743	9823	3380
744	9832	3365
745	9860	3357
746	9873	3344
747	9884	3330
748	9896	3316
749	9909	3303
750	9922	3289
751	9931	3275
752	9944	3261
753	9956	3248
754	9966	3234
755	9977	3220
756	9991	3207
757	10004	3193
758	10013	3179
759	10026	3166
760	10039	3153
761	10050	3139
762	10060	3125
763	10073	3111
764	10085	3098
765	10096	3084
766	10108	3070
767	10122	3057
768	10134	3044
769	10145	3030
770	10158	3017
771	10170	3003
772	10183	2990
773	10193	2976
774	10206	2963
775	10220	2950
776	10233	2937
777	10243	2922
778	10256	2909
779	10269	2896
780	10283	2883
781	10293	2869
782	10306	2856
783	10319	2843
784	10332	2829
785	10342	2815
786	10354	2802
787	10366	2789
788	10376	2774
789	10387	2761
790	10400	2748
791	10413	2734
792	10423	2720
793	10435	2707
794	10449	2694
795	10460	2680
796	10470	2666
797	10483	2653
798	10496	2640
799	10506	2626
800	10518	2613
801	10532	2600
802	10546	2587
803	10555	2573
804	10567	2559
805	10580	2546
806	10592	2533
807	10601	2519
808	10614	2506
809	10627	2492
810	10636	2478
811	10649	2465
812	10662	2452
813	10675	2439
814	10685	2425
815	10696	2412
816	10709	2398
817	10719	2385
818	10732	2371
819	10745	2358
820	10758	2345
821	10768	2331
822	10780	2318
823	10792	2305
824	10801	2291
825	10813	2277
826	10826	2264
827	10838	2251
828	10848	2237
829	10861	2224
830	10874	2211
831	10883	2197
832	10895	2184
833	10907	2171
834	10918	2157
835	10930	2144
836	10943	2131
837	10956	2118
838	10967	2104
839	10977	2091
840	10989	2077
841	10999	2064
842	11009	2050
843	11022	2037
844	11034	2024
845	11045	2010
846	11057	1997
847	11071	1984
848	11082	1971
849	11092	1957
850	11104	1944
851	11116	1930
852	11125	1917
853	11139	1904
854	11152	1891
855	11161	1877
856	11173	1864
857	11185	1851
858	11196	1837
859	11207	1824
860	11221	1811
861	11233	1798
862	11245	1785
863	11256	1771
864	11269	1758
865	11282	1745
866	11292	1732
867	11303	1718
868	11316	1705
869	11330	1692
870	11339	1679
871	11352	1666
872	11365	1653
873	11375	1639
874	11386	1626
875	11398	1613
876	11410	1600
877	11419	1586
878	11431	1573
879	11444	1560
880	11454	1547
881	11467	1534
882	11480	1521
883	11492	1508
884	11502	1494
885	11514	1481
886	11527	1468
887	11537	1455
888	11548	1441
889	11561	1428
890	11573	1415
891	11583	1402
892	11595	1389
893	11607	1376
894	11617	1362
895	11629	1349
896	11641	1336
897	11650	1323
898	11663	1310
899	11676	1297
900	11688	1284
901	11698	1271
902	11711	1258
903	11725	1245
904	11736	1231
905	11746	1218
906	11758	1205
907	11770	1192
908	11780	1179
909	11793	1166
910	11806	1153
911	11815	1140
912	11827	1127
913	11839	1114
914	11852	1101
915	11862	1087
916	11875	1074
917	11888	1061
918	11897	1048
919	11908	1035
920	11921	1022
921	11930	1009
922	11941	996
923	11954	983
924	11965	970
925	11975	957
926	11988	944
927	12001	931
928	12010	917
929	12022	904
930	12035	891
931	12046	878
932	12056	865
933	12069	852
934	12081	839
935	12090	826
936	12103	813
937	12117	800
938	12128	787
939	12139	774
940	12151	761
941	12163	748
942	12172	735
943	12186	722
944	12199	709
945	12210	696
946	12220	683
947	12233	671
948	12246	658
949	12255	645
950	12267	632
951	12280	619
952	12291	606
953	12301	593
954	12314	580
955	12325	567
956	12335	554
957	12347	541
958	12359	528
959	12369	515
960	12380	502
961	12393	489
962	12402	476
963	12415	463
964	12427	450
965	12436	437
966	12447	424
967	12460	411
968	12471	398
969	12480	386
970	12493	373
971	12506	360
972	12516	347
973	12529	334
974	12541	321
975	12550	308
976	12562	295
977	12574	282
978	12584	269
979	12594	257
980	12606	244
981	12615	231
982	12627	218
983	12640	205
984	12653	192
985	12663	179
986	12675	166
987	12687	154
988	12696	141
989	12709	128
990	12722	115
991	12734	102
992	12744	89
993	12756	76
994	12768	64
995	12778	51
996	12790	38
997	12802	25
998	12811	12
999	12824	0
